T/T_C	Del/Del_0
0.0493912578878	1.0
0.283938727601	0.9980002
0.316142956456	0.9960004
0.338289024331	0.9940006
0.355783368328	0.9920008
0.370507287666	0.990001
0.383361380841	0.9880012
0.394853941724	0.9860014
0.405302960846	0.9840016
0.414921999267	0.9820018
0.423862161478	0.980002
0.43223471754	0.9780022
0.440124238967	0.9760024
0.447596678778	0.9740026
0.454704578929	0.9720028
0.461490550156	0.970003
0.467989690408	0.9680032
0.474231287337	0.9660034
0.480240067887	0.9640036
0.486037121422	0.9620038
0.491640597865	0.960004
0.497066244788	0.9580042
0.502327822011	0.9560044
0.507437432533	0.9540046
0.512405790506	0.9520048
0.51724242135	0.950005
0.521955848407	0.9480052
0.526553723855	0.9460054
0.531042948915	0.9440056
0.535429775454	0.9420058
0.539719884734	0.940006
0.543918455918	0.9380062
0.548030226811	0.9360064
0.552059544009	0.9340066
0.55601040607	0.9320068
0.559886500859	0.930007
0.563691237973	0.9280072
0.567427777042	0.9260074
0.571099052489	0.9240076
0.574707794339	0.9220078
0.578256546964	0.920008
0.581747688543	0.9180082
0.585183444988	0.9160084
0.588565901462	0.9140086
0.591897012964	0.9120088
0.595178621752	0.910009
0.598412460441	0.9080092
0.601600159801	0.9060094
0.604743265008	0.9040096
0.607843229792	0.9020098
0.610901435973	0.90001
0.613919187753	0.8980102
0.616897725989	0.8960104
0.619838225252	0.8940106
0.622741805731	0.8920108
0.625609528342	0.890011
0.628442409137	0.8880112
0.631241410186	0.8860114
0.63400745499	0.8840116
0.636741421813	0.8820118
0.639444149306	0.880012
0.642116443487	0.8780122
0.644759071545	0.8760124
0.647372768905	0.8740126
0.649958243421	0.8720128
0.65251617087	0.870013
0.655047199649	0.8680132
0.657551954401	0.8660134
0.660031035113	0.8640136
0.66248501724	0.8620138
0.664914454608	0.860014
0.667319880997	0.8580142
0.669701811358	0.8560144
0.672060740623	0.8540146
0.674397146023	0.8520148
0.676711488021	0.850015
0.679004211104	0.8480152
0.681275744865	0.8460154
0.683526504399	0.8440156
0.685756890396	0.8420158
0.687967290337	0.840016
0.690158079086	0.8380162
0.692329619447	0.8360164
0.694482262691	0.8340166
0.696616349053	0.8320168
0.698732208209	0.830017
0.700830159713	0.8280172
0.70291051343	0.8260174
0.704973569931	0.8240176
0.707019620879	0.8220178
0.709048949387	0.820018
0.71106183036	0.8180182
0.71305853082	0.8160184
0.715039310224	0.8140186
0.717004420762	0.8120188
0.718954107618	0.810019
0.720888609254	0.8080192
0.72280815766	0.8060194
0.724712978595	0.8040196
0.726603291822	0.8020198
0.728479311322	0.80002
0.730341245511	0.7980202
0.732189297437	0.7960204
0.734023664973	0.7940206
0.735844540996	0.7920208
0.737652113569	0.790021
0.739446566102	0.7880212
0.741228077514	0.7860214
0.742996822381	0.7840216
0.744752970829	0.7820218
0.746496688988	0.780022
0.748228139231	0.7780222
0.74994748014	0.7760224
0.75165486663	0.7740226
0.753350450073	0.7720228
0.755034378397	0.770023
0.756706795882	0.7680232
0.758367843505	0.7660234
0.760017659508	0.7640236
0.761656379046	0.7620238
0.76328413441	0.760024
0.764901054959	0.7580242
0.766507266696	0.7560244
0.768102893386	0.7540246
0.769688056366	0.7520248
0.771262874477	0.750025
0.772827463997	0.7480252
0.774381938101	0.7460254
0.775926408298	0.7440256
0.777460984024	0.7420258
0.778985772528	0.740026
0.780500878222	0.7380262
0.782006403625	0.7360264
0.783502449788	0.7340266
0.784989115803	0.7320268
0.786466498091	0.730027
0.787934691392	0.7280272
0.789393789246	0.7260274
0.790843883359	0.7240276
0.792285062749	0.7220278
0.793717415492	0.720028
0.795141028379	0.7180282
0.796555986129	0.7160284
0.797962371385	0.7140286
0.799360266286	0.7120288
0.800749751381	0.710029
0.80213090474	0.7080292
0.803503804007	0.7060294
0.804868525662	0.7040296
0.806225143773	0.7020298
0.807573731774	0.70003
0.808914362293	0.6980302
0.810247105663	0.6960304
0.811572031503	0.6940306
0.812889208821	0.6920308
0.814198704371	0.690031
0.815500584364	0.6880312
0.816794914382	0.6860314
0.818081757771	0.6840316
0.819361177689	0.6820318
0.820633236416	0.680032
0.821897994166	0.6780322
0.823155511304	0.6760324
0.824405846827	0.6740326
0.825649058257	0.6720328
0.82688520328	0.670033
0.828114337604	0.6680332
0.829336516605	0.6660334
0.830551795076	0.6640336
0.83176022599	0.6620338
0.832961862644	0.660034
0.834156756685	0.6580342
0.835344959221	0.6560344
0.836526521001	0.6540346
0.837701491078	0.6520348
0.838869918852	0.650035
0.840031852067	0.6480352
0.841187338284	0.6460354
0.842336424383	0.6440356
0.843479156015	0.6420358
0.844615579023	0.640036
0.845745737596	0.6380362
0.846869676227	0.6360364
0.847987438011	0.6340366
0.849099065896	0.6320368
0.850204602107	0.630037
0.851304088031	0.6280372
0.852397564977	0.6260374
0.853485072986	0.6240376
0.854566652327	0.6220378
0.855642341891	0.620038
0.856712180828	0.6180382
0.857776207013	0.6160384
0.858834458449	0.6140386
0.859886972079	0.6120388
0.860933784774	0.610039
0.861974932591	0.6080392
0.863010451309	0.6060394
0.864040376119	0.6040396
0.865064741768	0.6020398
0.866083582586	0.60004
0.867096932352	0.5980402
0.868104824535	0.5960404
0.869107292012	0.5940406
0.870104367392	0.5920408
0.871096082703	0.590041
0.872082469707	0.5880412
0.873063559628	0.5860414
0.874039383394	0.5840416
0.875009971467	0.5820418
0.875975353955	0.580042
0.876935560594	0.5780422
0.877890620694	0.5760424
0.878840563291	0.5740426
0.879785416927	0.5720428
0.880725209949	0.570043
0.881659970173	0.5680432
